region_key,region,feature,descriptor,sign,width,lambda,internal_score,internal_mean_specificity_gain,internal_min_specificity_gain,internal_mean_accuracy_gain,internal_min_accuracy_gain,internal_max_sensitivity_loss,internal_min_deesc_n,external_mean_specificity_gain,external_min_specificity_gain,external_mean_accuracy_gain,external_min_accuracy_gain,external_max_sensitivity_loss,external_min_deesc_n
R4_117_128,R4,R4_117_128__slope_mean,slope_mean,1,0.7,0.4,0.034335730277641884,0.05202913631633715,0.046826222684703434,0.037308868501529036,0.031192660550458662,0.09302325581395349,56,0.011464968152866241,0.007643312101910828,0.00899928005759539,0.005399568034557212,0.0070921985815602835,7
R4_117_128,R4,R4_117_128__abs_curv_max,abs_curv_max,-1,0.7,0.4,0.03432043975776421,0.052375997225112735,0.046826222684703434,0.03761467889908254,0.03027522935779814,0.09302325581395349,57,0.033121019108280254,0.02929936305732484,0.02735781137509004,0.023758099352051865,0.0070921985815602835,24
R4_117_128,R4,R4_117_128__slope_sd,slope_sd,-1,0.5,0.55,0.034224618229135535,0.0565383281304197,0.04890738813735692,0.04097859327217124,0.03027522935779814,0.10852713178294573,61,0.023779193205944803,0.022929936305732482,0.01943844492440605,0.017278617710583144,0.014184397163120567,19
R4_117_128,R4,R4_117_128__linear_slope,linear_slope,1,0.7,0.4,0.0341794360250317,0.053416579951439475,0.044745057232049947,0.0385321100917431,0.028440366972477094,0.09302325581395349,55,0.010615711252653927,0.006369426751592357,0.007919366450683992,0.004319654427645814,0.0070921985815602835,6
R4_117_128,R4,R4_117_128__abs_curv_max,abs_curv_max,-1,0.5,0.55,0.034059811564314604,0.0565383281304197,0.05098855359001041,0.03975535168195721,0.032110091743119296,0.10852713178294573,63,0.03651804670912951,0.034394904458598725,0.029517638588912914,0.02699784017278617,0.014184397163120567,29
R4_117_128,R4,R4_117_128__abs_curv_mean,abs_curv_mean,-1,0.5,0.55,0.03404639336809635,0.06139438085327784,0.05202913631633715,0.04373088685015288,0.031192660550458662,0.12403100775193798,66,0.0326963906581741,0.02802547770700637,0.026997840172786242,0.023758099352051865,0.0070921985815602835,22
R4_117_128,R4,R4_117_128__slope_sd,slope_sd,-1,0.35,0.4,0.03378326121927049,0.043357613596947626,0.036420395421436005,0.033333333333333326,0.02477064220183489,0.06201550387596899,43,0.015711252653927813,0.012738853503184714,0.013318934485241204,0.010799136069114534,0.0,10
R4_117_128,R4,R4_117_128__endpoint_delta,endpoint_delta,1,0.35,0.55,0.033768631193015805,0.04994797086368366,0.043704474505723206,0.03639143730886851,0.028440366972477094,0.08527131782945736,53,0.009766454352441613,0.005095541401273885,0.007919366450683954,0.003239740820734416,0.0070921985815602835,5
R4_117_128,R4,R4_117_128__curv_sd,curv_sd,1,0.35,0.25,0.03358126228804906,0.034686090877558105,0.03225806451612903,0.027828746177370006,0.025688073394495414,0.03875968992248062,32,0.04118895966029724,0.03949044585987261,0.032037437005039616,0.029157667386609076,0.028368794326241134,32
R4_117_128,R4,R4_117_128__linear_slope,linear_slope,-1,0.5,0.4,0.033523322381349974,0.043357613596947626,0.036420395421436005,0.03211009174311926,0.02752293577981646,0.06201550387596899,40,0.09511677282377921,0.0929936305732484,0.07415406767458606,0.06911447084233269,0.06382978723404255,80
R4_117_128,R4,R4_117_128__abs_slope_max,abs_slope_max,-1,0.35,0.7,0.033389590368885495,0.05757891085674644,0.047866805411030174,0.04067278287461773,0.029357798165137616,0.10852713178294573,60,0.021231422505307854,0.017834394904458598,0.016558675305975545,0.01403887688984884,0.014184397163120567,15
R4_117_128,R4,R4_117_128__curv_sd,curv_sd,-1,0.35,0.7,0.03330718703647498,0.055150884495317375,0.04890738813735692,0.04006116207951068,0.03027522935779814,0.10852713178294573,61,0.035668789808917196,0.02929936305732484,0.029877609791216713,0.023758099352051865,0.0070921985815602835,24
R4_117_128,R4,R4_117_128__curv_sd,curv_sd,-1,0.5,0.55,0.03318877440579439,0.05896635449184876,0.04890738813735692,0.0422018348623853,0.029357798165137616,0.11627906976744186,62,0.03397027600849257,0.030573248407643312,0.028437724982001516,0.024838012958963374,0.0070921985815602835,25
R4_117_128,R4,R4_117_128__abs_curv_mean,abs_curv_mean,-1,0.35,0.4,0.03313441929585675,0.04613250086715228,0.04162330905306972,0.034556574923547356,0.02752293577981646,0.07751937984496124,50,0.024628450106157117,0.017834394904458598,0.02051835853131752,0.015118790496760237,0.0070921985815602835,14
R4_117_128,R4,R4_117_128__abs_slope_max,abs_slope_max,-1,0.35,0.55,0.03306118886928003,0.053763440860215055,0.045785639958376693,0.039143730886850116,0.028440366972477094,0.10077519379844961,57,0.017834394904458598,0.011464968152866241,0.01403887688984884,0.008639308855291628,0.0070921985815602835,10
