feature,model,cohort,n,n_pos,prevalence,auc,auc_std,auc_ci_lower,auc_ci_upper,threshold,sensitivity,specificity,accuracy,sensitivity_std,specificity_std,accuracy_std
HTN,clinic4_lama_slope,internal,1259,386,0.30659253375694995,0.8018604854368402,0.011346244143800985,,,0.26414582978367035,0.7878454878454879,0.6690246305418719,0.7053405425915387,0.054412132135372965,0.03072613097757946,0.018570356262159877
HTN,clinic4_lama_slope,external,1123,507,0.4514692787177204,0.7293283639437487,,0.6995538355720873,0.7591056375314891,0.26414582978367035,0.8067061143984221,0.5194805194805194,0.649154051647373,,,
HTN,clinic4_tama_slope,internal,1259,386,0.30659253375694995,0.8006192461069308,0.015616835862756386,,,0.26414582978367035,0.7930069930069931,0.6586995073891625,0.6997533674824512,0.056654543645072476,0.0390405646982788,0.016145370699753664
HTN,clinic4_tama_slope,external,1123,507,0.4514692787177204,0.7112855093624324,,0.6810952949368854,0.7411252040875721,0.26414582978367035,0.7869822485207101,0.547077922077922,0.655387355298308,,,
DM,clinic4,internal,1259,233,0.18506751389992057,0.7179709272358344,0.04627837253285144,,,0.13911514474784284,0.8493987049028677,0.5077433104428131,0.5711218617593119,0.06661822769164183,0.04306874275075505,0.029247807738107843
DM,clinic4,external,1123,335,0.2983081032947462,0.665959542389575,,0.6322590734472425,0.6994627262185465,0.13911514474784284,0.7970149253731343,0.4098984771573604,0.5253784505788067,,,
DM,clinic4_bmi,internal,1259,233,0.18506751389992057,0.7182894639132034,0.04556172071591181,,,0.13911514474784284,0.8365402405180389,0.5087189201989106,0.569528236261304,0.06010217837531175,0.038803619040523284,0.024839451460220117
DM,clinic4_bmi,external,1123,335,0.2983081032947462,0.6663535116296688,,0.6326181831063906,0.6998419205942662,0.13911514474784284,0.7910447761194029,0.41624365482233505,0.5280498664292075,,,
DM,clinic4_smi,internal,1259,233,0.18506751389992057,0.7167371337482089,0.04345508220051717,,,0.13911514474784284,0.8410730804810361,0.5087189201989107,0.5703155631442484,0.03296882899708082,0.0354718072225246,0.026150469211868314
DM,clinic4_smi,external,1123,335,0.2983081032947462,0.6715432987347527,,0.6378394459061246,0.7065794648376148,0.13911514474784284,0.7880597014925373,0.43781725888324874,0.5422974176313446,,,
DM,clinic4_vat,internal,1259,233,0.18506751389992057,0.7232226784164861,0.04258129050579259,,,0.13911514474784284,0.7980573543015727,0.5262893677480464,0.5766837412255739,0.04341286636405829,0.038261085166194815,0.02864484201811208
DM,clinic4_vat,external,1123,335,0.2983081032947462,0.6759072657019471,,0.6441704829068794,0.7100271347184849,0.13911514474784284,0.7791044776119403,0.44289340101522845,0.5431878895814782,,,
DM,clinic4_sat,internal,1259,233,0.18506751389992057,0.7203010297995888,0.04288394333495617,,,0.13911514474784284,0.8452358926919519,0.5038408714184228,0.5671472838803516,0.0429252128791533,0.04214720980072797,0.029173334134372505
DM,clinic4_sat,external,1123,335,0.2983081032947462,0.6636563376013335,,0.629814798760802,0.6979232620505851,0.13911514474784284,0.7880597014925373,0.4149746192893401,0.5262689225289403,,,
DM,clinic4_imata,internal,1259,233,0.18506751389992057,0.7260394259619198,0.04344005147466291,,,0.13911514474784284,0.8368177613320998,0.5194695713947431,0.5782615569468159,0.032777232891234104,0.029556679539835543,0.02525498376541042
DM,clinic4_imata,external,1123,335,0.2983081032947462,0.6761042503219941,,0.643833934655054,0.7098738950472498,0.13911514474784284,0.7910447761194029,0.434010152284264,0.5405164737310775,,,
DM,clinic4_nama,internal,1259,233,0.18506751389992057,0.7155208854729935,0.04846250900248634,,,0.13911514474784284,0.8321924144310824,0.5038456073881127,0.5647694934547525,0.06873109862366095,0.042665382334709935,0.027962187550893632
DM,clinic4_nama,external,1123,335,0.2983081032947462,0.6658913554057125,,0.632179961766708,0.6994003039714604,0.13911514474784284,0.7970149253731343,0.4098984771573604,0.5253784505788067,,,
DM,clinic4_lama,internal,1259,233,0.18506751389992057,0.7278448753062116,0.04333002012545875,,,0.13911514474784284,0.828122109158187,0.5165332701870707,0.5742996268892683,0.06035579707323214,0.036464230717462874,0.027051136221768423
DM,clinic4_lama,external,1123,335,0.2983081032947462,0.6821274338965073,,0.6490715574002714,0.7151227654680479,0.13911514474784284,0.8388059701492537,0.383248730964467,0.5191451469278717,,,
DM,clinic4_tama,internal,1259,233,0.18506751389992057,0.717193311461419,0.04383776580848278,,,0.13911514474784284,0.8410730804810361,0.5087189201989107,0.5703187250996016,0.03296882899708082,0.03806063566035776,0.02874687740168618
DM,clinic4_tama,external,1123,335,0.2983081032947462,0.6717705886809606,,0.6379939355134229,0.7066818201124531,0.13911514474784284,0.7850746268656716,0.4365482233502538,0.5405164737310775,,,
DM,clinic4_vat_sat_ratio,internal,1259,233,0.18506751389992057,0.7224955208723297,0.04251719216269115,,,0.13911514474784284,0.8153561517113784,0.5262941037177362,0.5798615063555302,0.04695344536350559,0.03313881414557189,0.02644619951573652
DM,clinic4_vat_sat_ratio,external,1123,335,0.2983081032947462,0.6772066065611031,,0.6446230609745771,0.7089979718770897,0.13911514474784284,0.7940298507462686,0.43147208121827413,0.5396260017809439,,,
DM,clinic4_lama_tama_ratio,internal,1259,233,0.18506751389992057,0.7238877141454565,0.0490306098790908,,,0.13911514474784284,0.806567992599445,0.5272602415344542,0.5790710175172327,0.05589624084754216,0.03787685256278683,0.029078197577669516
DM,clinic4_lama_tama_ratio,external,1123,335,0.2983081032947462,0.6744374573831351,,0.6417781402485079,0.7075987483296117,0.13911514474784284,0.835820895522388,0.3629441624365482,0.5040071237756011,,,
DM,clinic4_imata_tama_ratio,internal,1259,233,0.18506751389992057,0.7196885168945094,0.04793266267957333,,,0.13911514474784284,0.849491211840888,0.5067913805351646,0.570325049010308,0.057270387122288165,0.033562151508295,0.02400429681060125
DM,clinic4_imata_tama_ratio,external,1123,335,0.2983081032947462,0.6692590347753617,,0.6363498128977882,0.7029976001736696,0.13911514474784284,0.8,0.41116751269035534,0.5271593944790739,,,
DM,clinic4_aec_fpca_elbow,internal,1259,233,0.18506751389992057,0.7332729033531411,0.04831448811129088,,,0.13911514474784284,0.8066604995374653,0.5409093061804404,0.590185290583697,0.047839594282807714,0.03290008163298511,0.027071352899555208
DM,clinic4_aec_fpca_elbow,external,1123,335,0.2983081032947462,0.6813394954163194,,0.6475038208160508,0.7148109370957986,0.13911514474784284,0.8328358208955224,0.3629441624365482,0.5031166518254675,,,
DM,clinic4_aec_uplow_ratio,internal,1259,233,0.18506751389992057,0.7304112210499614,0.041434295875914004,,,0.13911514474784284,0.8281221091581867,0.5370163390954298,0.5909726174666414,0.03454437476437789,0.026331533206573794,0.019551145975303875
