feature,model,section,n,auc_baseline,auc_extended,auc_diff,z,p_value,q_value_bh
MI,clinic4_aec_fpca_elbow,curve_fpca_elbow,3130,0.742983302035223,0.7231216904363126,-0.019861611598910422,-0.7106636250032251,0.4772927056303803,0.7940557852863649
MI,clinic4_aec_uplow_ratio,curve_uplow_ratio,3130,0.742983302035223,0.7188245444856113,-0.02415875754961172,-1.7732796743259376,0.07618237537375473,0.3206807822155211
MI,clinic4_vat_fpca_elbow,curve_fpca_elbow,3130,0.742983302035223,0.7078448290446463,-0.03513847299057671,-1.0047750476247972,0.31500518156900026,0.6407117220687569
MI,clinic4_vat_uplow_ratio,curve_uplow_ratio,3130,0.742983302035223,0.7247458085909083,-0.01823749344431469,-1.195952986961632,0.23171490584418242,0.5561157740260378
MI,clinic4_sat_fpca_elbow,curve_fpca_elbow,3130,0.742983302035223,0.7239675853084978,-0.019015716726725196,-0.9588084949764584,0.33765522888087596,0.6548465044962444
MI,clinic4_sat_uplow_ratio,curve_uplow_ratio,3130,0.742983302035223,0.716422203048605,-0.02656109898661796,-1.7013512130721444,0.0888770565968135,0.3396299354006598
MI,clinic4_imata_fpca_elbow,curve_fpca_elbow,3130,0.742983302035223,0.7317836539274899,-0.011199648107733107,-0.5078591788424922,0.611552104244798,0.8633676765808913
MI,clinic4_imata_uplow_ratio,curve_uplow_ratio,3130,0.742983302035223,0.7279602091052124,-0.015023092930010584,-1.0856657187412715,0.2776269127324634,0.6126938763750917
MI,clinic4_nama_fpca_elbow,curve_fpca_elbow,3130,0.742983302035223,0.7310392664399669,-0.011944035595256142,-1.2820413569483018,0.1998281388018568,0.5023895200588309
MI,clinic4_nama_uplow_ratio,curve_uplow_ratio,3130,0.742983302035223,0.7293982303879274,-0.01358507164729561,-1.1004947014406319,0.27111663696561483,0.6122996576567027
MI,clinic4_lama_fpca_elbow,curve_fpca_elbow,3130,0.742983302035223,0.7569067316313929,0.013923429596169878,0.7384308017359563,0.46025270285221986,0.7820222915719134
MI,clinic4_lama_uplow_ratio,curve_uplow_ratio,3130,0.742983302035223,0.7336615405437412,-0.009321761491481784,-1.5380343404102028,0.12404021855094902,0.39703259214762937
MI,clinic4_tama_fpca_elbow,curve_fpca_elbow,3130,0.742983302035223,0.7280278806949873,-0.014955421340235753,-2.8435315752142594,0.004461658835762882,0.08362902340780592
MI,clinic4_tama_uplow_ratio,curve_uplow_ratio,3130,0.742983302035223,0.731546803363278,-0.011436498671944961,-1.4120455093523634,0.15793656161572378,0.45671576162961075
MI,clinic4_aec_slope,curve_slope,3130,0.742983302035223,0.7433047420866534,0.00032144005143042165,0.01364189155702129,0.9891156829449732,0.9932918551178367
MI,clinic4_vat_slope,curve_slope,3130,0.742983302035223,0.7018220575546871,-0.04116124448053593,-1.4071774688284624,0.15937477098533293,0.45671576162961075
MI,clinic4_sat_slope,curve_slope,3130,0.742983302035223,0.7416298702397266,-0.001353431795496407,-0.07241752919743967,0.9422696351375142,0.9903912419974396
MI,clinic4_imata_slope,curve_slope,3130,0.742983302035223,0.7283154849515302,-0.014667817083692802,-1.496683999606189,0.1344755015361757,0.41644026282170543
MI,clinic4_nama_slope,curve_slope,3130,0.742983302035223,0.7266744488994907,-0.01630885313573227,-2.4891335544141735,0.012805485161461405,0.11707872147621856
