rank,original_feature_index,feature
369,12439,smooth_visual__visual_norm_abs_slope_082_113_min
370,2854,smooth_norm__contrast_tail_120_128_minus_troughcore_070_085
371,2949,smooth_norm__late_091_128_argmax
372,1023,smooth_norm__log_slope_094_101_sd
373,13066,smooth_visual__visual_norm_curv_103_120_sd
374,1462,smooth_norm__norm_curv_100_103_min
375,2701,smooth_norm__log_haar_b16_095_126
376,10798,smooth_visual__visual_norm_slope_094_099_sd
377,735,smooth_norm__norm_slope_103_118_sd
378,1925,smooth_norm__norm_curv_088_103_sd
379,1761,smooth_norm__norm_curv_082_093_sd
380,2271,smooth_norm__norm_haar_b08_103_118
381,2700,smooth_norm__log_haar_b16_093_124
382,10813,smooth_visual__visual_norm_slope_106_111_mean
383,1321,smooth_norm__log_slope_085_116_sd
384,2419,smooth_norm__norm_haar_b24_081_128
385,12908,smooth_visual__visual_norm_curv_097_110_max
386,12442,smooth_visual__visual_norm_abs_slope_085_116_sd
387,2844,smooth_norm__contrast_tail_120_128_minus_trough_060_095
388,11694,smooth_visual__visual_norm_abs_slope_097_102_sd
389,12904,smooth_visual__visual_norm_curv_094_107_max
390,13055,smooth_visual__visual_norm_curv_094_111_min
391,10544,smooth_visual__visual_mid_flatness__early_049_064__mid_065_088__tail_097_124
392,1791,smooth_norm__norm_curv_103_114_max
393,12562,smooth_visual__visual_norm_curv_079_084_sd
394,2862,smooth_norm__contrast_tail_120_128_minus_recover_075_090
395,11674,smooth_visual__visual_norm_abs_slope_082_087_sd
396,1629,smooth_norm__norm_curv_103_110_sd
397,2866,smooth_norm__contrast_tail_114_128_minus_recover_081_113
398,12746,smooth_visual__visual_norm_curv_094_103_sd
399,9736,smooth_visual__visual_mid_flatness__early_041_056__mid_065_088__tail_113_124
400,1111,smooth_norm__log_slope_106_117_sd
401,10806,smooth_visual__visual_norm_slope_100_105_sd
402,12744,smooth_visual__visual_norm_curv_091_100_max
403,1033,smooth_norm__log_slope_109_116_sd
404,10977,smooth_visual__visual_norm_slope_106_115_mean
405,9352,smooth_visual__visual_mid_flatness__early_037_060__mid_069_084__tail_113_124
406,12599,smooth_visual__visual_norm_curv_106_111_min
407,8008,smooth_visual__visual_mid_flatness__early_029_052__mid_053_084__tail_113_124
408,2920,smooth_norm__logcontrast_log_tail_120_128_minus_log_troughcore_070_085
409,1786,smooth_norm__norm_curv_100_111_min
410,1319,smooth_norm__log_slope_082_113_sd
