feature,model,cohort,scanner,n,n_pos,auc,sensitivity,specificity,accuracy
HTN,clinic4,internal,Ingenuity Core 128,202,66,0.7532308377896614,0.6515151515151515,0.6764705882352942,0.6683168316831684
HTN,clinic4,internal,Revolution CT,317,60,0.8610246433203631,0.7333333333333333,0.8287937743190662,0.8107255520504731
HTN,clinic4,internal,Sensation 64,380,119,0.8248816768086544,0.7815126050420168,0.7854406130268199,0.7842105263157895
HTN,clinic4_meanmAs,external,iCT 256,135,47,0.6929400386847195,0.48936170212765956,0.7045454545454546,0.6296296296296297
HTN,clinic4_meanmAs,external,Revolution EVO,149,88,0.7201937406855439,0.5113636363636364,0.7704918032786885,0.6174496644295302
HTN,clinic4_meanmAs,external,SOMATOM Definition AS+,165,76,0.7152572442341809,0.618421052631579,0.7078651685393258,0.6666666666666666
HTN,clinic4_meanmAs,external,SOMATOM Force,123,58,0.7151193633952254,0.5,0.7846153846153846,0.6504065040650406
HTN,clinic4_meanmAs,external,LightSpeed VCT,50,13,0.7234927234927235,0.5384615384615384,0.7837837837837838,0.72
HTN,clinic4_meanmAs,external,SOMATOM Definition Flash,228,96,0.7368213383838382,0.53125,0.7651515151515151,0.6666666666666666
HTN,clinic4_meanmAs,external,Sensation 64,48,29,0.6406533575317604,0.7241379310344828,0.631578947368421,0.6875
HTN,clinic4_meanmAs,internal,SOMATOM Definition AS+,180,79,0.7284120817145007,0.7468354430379747,0.6138613861386139,0.6722222222222223
HTN,clinic4_meanmAs,internal,Ingenuity Core 128,202,66,0.7574643493761142,0.6212121212121212,0.7205882352941176,0.6881188118811881
HTN,clinic4_meanmAs,internal,Revolution CT,317,60,0.8631647211413748,0.7333333333333333,0.8365758754863813,0.8170347003154574
HTN,clinic4_meanmAs,internal,Sensation 64,380,119,0.8304195241314918,0.7899159663865546,0.7547892720306514,0.7657894736842106
HTN,clinic4_meanmAs_aec,external,iCT 256,135,47,0.6970502901353965,0.6170212765957447,0.6818181818181818,0.6592592592592592
HTN,clinic4_meanmAs_aec,external,Revolution EVO,149,88,0.7416169895678092,0.7386363636363636,0.6885245901639344,0.7181208053691275
HTN,clinic4_meanmAs_aec,external,SOMATOM Definition AS+,165,76,0.7287108219988173,0.618421052631579,0.6966292134831461,0.6606060606060606
HTN,clinic4_meanmAs_aec,external,SOMATOM Force,123,58,0.7289124668435013,0.6206896551724138,0.7230769230769231,0.6747967479674797
HTN,clinic4_meanmAs_aec,external,LightSpeed VCT,50,13,0.7276507276507276,0.6153846153846154,0.7027027027027027,0.68
HTN,clinic4_meanmAs_aec,external,SOMATOM Definition Flash,228,96,0.744949494949495,0.6458333333333334,0.7196969696969697,0.6885964912280702
HTN,clinic4_meanmAs_aec,external,Sensation 64,48,29,0.6733212341197822,0.8620689655172413,0.42105263157894735,0.6875
HTN,clinic4_meanmAs_aec,internal,SOMATOM Definition AS+,180,79,0.7386890587792957,0.8354430379746836,0.46534653465346537,0.6277777777777778
HTN,clinic4_meanmAs_aec,internal,Ingenuity Core 128,202,66,0.7723930481283422,0.6363636363636364,0.7205882352941176,0.693069306930693
HTN,clinic4_meanmAs_aec,internal,Revolution CT,317,60,0.8623865110246433,0.8166666666666667,0.8054474708171206,0.807570977917981
HTN,clinic4_meanmAs_aec,internal,Sensation 64,380,119,0.8352168453588333,0.8235294117647058,0.7164750957854407,0.75
HTN,clinic4_vatsat,external,iCT 256,135,47,0.6924564796905223,0.7446808510638298,0.6136363636363636,0.6592592592592592
HTN,clinic4_vatsat,external,Revolution EVO,149,88,0.7507451564828613,0.7954545454545454,0.5573770491803278,0.697986577181208
HTN,clinic4_vatsat,external,SOMATOM Definition AS+,165,76,0.7222057953873448,0.8289473684210527,0.550561797752809,0.6787878787878788
HTN,clinic4_vatsat,external,SOMATOM Force,123,58,0.729973474801061,0.7586206896551724,0.5538461538461539,0.6504065040650406
HTN,clinic4_vatsat,external,LightSpeed VCT,50,13,0.7047817047817048,0.6153846153846154,0.5945945945945946,0.6
HTN,clinic4_vatsat,external,SOMATOM Definition Flash,228,96,0.7331123737373737,0.84375,0.5151515151515151,0.6535087719298246
HTN,clinic4_vatsat,external,Sensation 64,48,29,0.6751361161524501,0.8620689655172413,0.2631578947368421,0.625
HTN,clinic4_vatsat,internal,SOMATOM Definition AS+,180,79,0.7537285374107031,0.8734177215189873,0.5148514851485149,0.6722222222222223
HTN,clinic4_vatsat,internal,Ingenuity Core 128,202,66,0.7751782531194296,0.8181818181818182,0.625,0.6881188118811881
HTN,clinic4_vatsat,internal,Revolution CT,317,60,0.8536964980544747,0.8833333333333333,0.6926070038910506,0.7287066246056783
HTN,clinic4_vatsat,internal,Sensation 64,380,119,0.8378247850864484,0.7815126050420168,0.735632183908046,0.75
HTN,clinic4_vatsat_aec,external,iCT 256,135,47,0.6970502901353965,0.723404255319149,0.6022727272727273,0.6444444444444445
HTN,clinic4_vatsat_aec,external,Revolution EVO,149,88,0.7473919523099851,0.8181818181818182,0.5245901639344263,0.697986577181208
